e_angle,e_tau,s_angle,s_tau,s_emg1,s_emg2,s_emg3,s_emg4,s_emg5,s_emg6,a_emg1,a_emg2,a_emg3,a_emg4
0.36072028485653335,189.58923330222072,2.7655596300075467,347.172321522115,0.09751356917102011,0.10280888221431608,0.01,0.010000000000000028,0.010000000000000026,0.010000000000000012,0.13054899601659906,0.0742019014983561,0.07283389652323995,0.14164875703767785
0.36072028485653335,189.72851810158136,2.7655596300075467,347.4290557878,0.9999999999999721,0.9999999999999967,0.010000000000000453,0.01000000000000074,0.0100000000000009,1.0,0.10298228840153609,0.06442069946843618,0.05447452293945327,0.14633490395354967
0.36072028485653335,176.47482011071338,2.7655596300075467,323.0554003163889,0.9999999999999853,0.9999999999999925,0.01000000000000057,0.010000000000000318,0.010000000000001046,0.9999999999999999,0.09068220886030373,0.08480602837031202,0.03355737716656556,0.13519450642781283
0.36072028485653335,148.16112293979361,2.7655596300075467,270.80426180514854,0.999999999999998,0.999999999999996,0.010000000000000132,0.01000000000000102,0.01000000000000107,0.9999999999999999,0.08557258137794396,0.08652036029099294,0.03637740627297505,0.13179557640192163
0.36072028485653335,115.02560288716418,2.7655596300075467,209.43387704385245,0.9999999999999982,0.9999999999999984,0.010000000000000247,0.010000000000000009,0.010000000000000104,0.9999999999999996,0.08016039125280727,0.07531022203800859,0.035326573706189156,0.13613952694868955
0.36072028485653335,77.06012236645228,2.7655596300075467,138.96636885757687,1.0,1.0,0.01,0.01,0.01,1.0,0.08290292154296733,0.05861300054938497,0.06331934597214091,0.14066138338776418
0.36072028485653335,34.25679117782695,2.7655596300075467,59.52696915868505,1.0,1.0,0.01,0.01,0.01,1.0,0.11268478303506509,0.04931836635325748,0.089593798286776,0.13743152305701867
0.36072028485653335,-13.303161342663955,2.7655596300075467,-28.397212261656907,0.010000000000000063,0.010000000000000115,0.33853084421179386,0.28035206130737994,0.3134249047330177,0.010000000000000358,0.11610262187467581,0.06442086693167806,0.15144986397153185,0.1294056062747415
0.36072028485653335,-39.092024028147335,2.7655596300075467,-75.62660101747883,0.010000000000000196,0.01,1.0,0.8595571192893301,0.948583081750448,0.01000000000000009,0.08703108553192612,0.061505910814739856,0.15304120141575087,0.125614383518579
0.36072028485653335,-30.731975451814424,2.7655596300075467,-60.08601838613583,0.01000000000000022,0.01,0.9084966690050945,0.756488392724366,0.8446529118782673,0.01000000000000052,0.05750905254062704,0.10089602128992946,0.13782977968435256,0.131201908154026
0.36072028485653335,-1.9072946588371196,2.7655596300075467,-8.108477154684774,0.010000000000000103,0.01,0.10891768943805713,0.0923503017063084,0.10275860730843282,0.010000000000000162,0.05748454948414471,0.10294771363091565,0.07406392164980372,0.13871140229934706
0.36072028485653335,7.687609517981674,2.7655596300075467,8.955809523423852,0.17849347853172573,0.22400576084033846,0.010000000000000075,0.01,0.010000000000000024,0.2801937280951487,0.05484155953028807,0.10465015487246687,0.05645566618252378,0.13670902548627978
0.36072028485653335,7.60617180064533,2.7655596300075467,8.723466278513207,0.16196459913237113,0.20888002303886252,0.01,0.01000000000000019,0.010000000000000004,0.2562461483480476,0.04891067692109306,0.08909555398983371,0.11690457166138703,0.13010971894225287
0.36072028485653335,2.1474869417687192,2.7655596300075467,-1.0552068375062953,0.030439433117178984,0.03908743802452369,0.010000000000000063,0.01,0.010000000000000004,0.047096968383643134,0.05949757827385536,0.14628917894950863,0.13250788809519343,0.12722563561788144
0.36072028485653335,0.5652731376620763,2.7655596300075467,-3.925015392895823,0.010000000000000012,0.010000000000000002,0.03355927381407389,0.025917173409486145,0.03130137061529468,0.01000000000000003,0.062195995534601416,0.1852320007337433,0.137782828701631,0.13643079111024228
0.36072028485653335,3.9496824982329506,2.7655596300075467,2.020442977250291,0.07002665021405689,0.08888746636468814,0.01000000000000003,0.01,0.010000000000000052,0.10449706348088716,0.06248917675015216,0.17550118979707777,0.08700354050104678,0.1454377308057493
0.36072028485653335,7.426429069249805,2.7655596300075467,8.134941441883045,0.14903489215062424,0.1914219395870087,0.01000000000000005,0.010000000000000049,0.010000000000000044,0.22152120844057757,0.05001861792266435,0.12737152810755648,0.06772533442174551,0.1397437110197557
0.36072028485653335,8.433617166383673,2.7655596300075467,9.89704971902249,0.17079949533291955,0.22098330678070813,0.010000000000000012,0.01,0.01,0.25223833667613077,0.07065133944700935,0.042269515692368996,0.055530403224791886,0.12650644587672322
0.36072028485653335,7.219784880475225,2.7655596300075467,7.740113409974595,0.14350165423751732,0.18550903539321953,0.010000000000000047,0.010000000000000082,0.01000000000000007,0.21191130208222897,0.07524355159901139,0.038274907472374546,0.06263800070892026,0.1190353650930257
0.36072028485653335,6.113909591613049,2.7655596300075467,5.771976059383665,0.11816068809048536,0.15266858956791854,0.01,0.010000000000000007,0.01,0.1743187162326773,0.07491724833902709,0.03897934247523716,0.09456006206842042,0.12969161268724366
0.36072028485653335,6.4901107811392444,2.7655596300075467,6.421242104381984,0.12584058132919984,0.16234857289769655,0.010000000000000089,0.01,0.01,0.18515838708040777,0.05834223957982314,0.03269648333810182,0.10429749955893565,0.1435510886011404
0.36072028485653335,7.80081900064547,2.7655596300075467,8.725254490086767,0.15450195270674202,0.19942358836094268,0.010000000000000023,0.010000000000000018,0.01,0.2264124943622701,0.06644242080185017,0.026708324373635833,0.1013281459493293,0.14476658405939605
0.36072028485653335,8.42636164513138,2.7655596300075467,9.827344768312955,0.16819404846945257,0.217290261748997,0.010000000000000028,0.01,0.01,0.24648046660231226,0.07747472677951171,0.03700725993898676,0.07654990669446869,0.1320084628442779
0.36072028485653335,7.992521001033772,2.7655596300075467,9.062152116929079,0.1589385387097438,0.2059093778057936,0.010000000000000075,0.01,0.01,0.23244144463285737,0.07287250835291481,0.04251077502220858,0.05430094982194666,0.12470992955548209
0.36072028485653335,7.339346985217481,2.7655596300075467,7.907398417226707,0.14450260215824626,0.18682461680381918,0.01,0.010000000000000009,0.010000000000000073,0.21157443957081384,0.06843738478506524,0.08064960344705993,0.052348704347843895,0.13041097803690463
0.36072028485653335,7.24226080066238,2.7655596300075467,7.731866639757071,0.1420654340657406,0.18361636865217895,0.01000000000000007,0.01,0.01000000000000025,0.207958205396429,0.07554723361667898,0.10774581828603565,0.075597850326131,0.13628745374753007
0.36072028485653335,7.773008558514916,2.7655596300075467,8.665116917584614,0.153469101777788,0.19836553314645855,0.010000000000000248,0.01,0.01,0.2246387562999883,0.07252310767617395,0.11940053831384446,0.0749773393735461,0.13580445180309958
0.36072028485653335,8.19259266519306,2.7655596300075467,9.40547414144982,0.1624618749955691,0.21006184765111693,0.01000000000000005,0.010000000000000016,0.01,0.2378898175881355,0.06266769984177274,0.10163991426002729,0.07953592437220645,0.1235871932829232
0.36072028485653335,8.074271363023687,2.7655596300075467,9.198269949175755,0.16039250730124957,0.20756451975575455,0.01,0.01,0.01,0.23401762325369568,0.05098434479819474,0.06450760055709705,0.05552724603772296,0.12333460424650923
0.36072028485653335,7.725511656255481,2.7655596300075467,8.58325920840495,0.1527512514668087,0.19754712090436777,0.010000000000000024,0.01,0.010000000000000004,0.22337155032294678,0.0647483409898261,0.036698420793233925,0.06157015844551657,0.13205430675927993
0.36072028485653335,7.570565827201012,2.7655596300075467,8.308624042638215,0.1492474184488786,0.19295216725698705,0.01,0.010000000000000115,0.01,0.21826281833621128,0.06865960003314846,0.05702492979603248,0.06573629430357017,0.1406730327580054
0.36072028485653335,7.75327989542027,2.7655596300075467,8.629574546057883,0.15314643464030536,0.19796731809558224,0.010000000000000028,0.010000000000000012,0.01,0.2239171692858024,0.06306104094996456,0.0769776703882632,0.06420278077097553,0.13676158600124963
0.36072028485653335,8.00224094426044,2.7655596300075467,9.068701740898659,0.15846765353479336,0.2048716902016246,0.01,0.01000000000000002,0.010000000000000009,0.23173151454464813,0.055539900212664625,0.10092973502257756,0.05814303793475077,0.12736660376457487
0.36072028485653335,8.02413032229315,2.7655596300075467,9.10824327218609,0.1591111668218632,0.20585547005508037,0.010000000000000073,0.01,0.01,0.23236654237455023,0.07955192653504363,0.10806125990329149,0.15893098028883326,0.12686226537288484
0.36072028485653335,7.87434261840866,2.7655596300075467,8.844584327509745,0.15587190099212309,0.2014897913857562,0.01,0.010000000000000012,0.010000000000000057,0.2281677376249781,0.08908689971809684,0.100470873016631,0.16694000057680447,0.13609367196669087
0.36072028485653335,7.75454414274871,2.7655596300075467,8.6329965355454,0.15335406392881565,0.19840078640789613,0.01,0.01,0.010000000000000106,0.22389506302092682,0.089148772344618,0.09419045598792068,0.18378924977204217,0.1428638541377511
0.36072028485653335,7.782823771735861,2.7655596300075467,8.682268321557212,0.15393162076213227,0.19911800835553128,0.010000000000000082,0.01,0.01000000000000005,0.2247119072084179,0.06240876538673976,0.14211403410889842,0.11891706042413151,0.1356957254507673
0.36072028485653335,7.905059997702485,2.7655596300075467,8.897679024235705,0.15653609514552763,0.2024783190054372,0.010000000000000219,0.010000000000000134,0.01,0.22856099971172303,0.045130202996089906,0.14592916271248535,0.11053996665497887,0.12293371074947575
0.36072028485653335,7.960802236326296,2.7655596300075467,8.996383729046006,0.1577516764106874,0.20405289299448526,0.01,0.01000000000000001,0.010000000000000052,0.23039450051858015,0.08625616956445506,0.14166362753853937,0.07867038742746428,0.11793095171314175
0.36072028485653335,7.911384437047314,2.7655596300075467,8.909626874815164,0.15665985274271285,0.2025460854947012,0.010000000000000172,0.01,0.01,0.22919256248539568,0.10651877376944147,0.06987401326636412,0.07920011651469068,0.12691959728830846
0.36072028485653335,7.837947732909458,2.7655596300075467,8.780128653014865,0.15516135860372546,0.2006917241667826,0.010000000000000047,0.01,0.010000000000000018,0.2266318180866297,0.1136501716204611,0.05573167363709341,0.06185512867175807,0.13916946138358033
0.36072028485653335,7.821411887045806,2.7655596300075467,8.750700039239245,0.1546680887368092,0.1999144285955444,0.01,0.01,0.01,0.22638384938890832,0.10021077878453369,0.04817872395294838,0.05673873376557482,0.1400155874187887
0.36072028485653335,7.871543324274442,2.7655596300075467,8.838931672724701,0.15573527193945133,0.20128334799607678,0.01,0.010000000000000087,0.01,0.2279794468425186,0.1062198808148258,0.05797948536177864,0.03958882309524958,0.13258271781913814
0.36072028485653335,7.917565439576906,2.7655596300075467,8.920214097669277,0.15673970907707754,0.20261362461204319,0.01,0.01,0.01,0.22935721746732574,0.14042778093665462,0.07319932855891965,0.10994543266617376,0.12797695260687966
0.36072028485653335,7.9093469749521566,2.7655596300075467,8.905949204528975,0.1566980167892963,0.2026934309960275,0.01,0.01,0.01,0.22883926680496944,0.14585002501595656,0.09747010779189261,0.15041370811420934,0.1326251414587764
0.36072028485653335,7.87323644374581,2.7655596300075467,8.842347610305763,0.1558140464551153,0.20140450938595203,0.010000000000000005,0.01,0.010000000000000115,0.22807865373501862,0.13626307211155977,0.14763141604567145,0.1575081887790923,0.136985759232018
0.36072028485653335,7.852151632143334,2.7655596300075467,8.805071948155387,0.15549821304617256,0.20116308832938437,0.010000000000000158,0.01,0.010000000000000167,0.226954236396383,0.09232793644925118,0.15190253176865592,0.13369905981084404,0.1328400896001674
0.36072028485653335,7.867234787233811,2.7655596300075467,8.831552462946915,0.15576986164246262,0.20145518685043348,0.01,0.01,0.01,0.22756013404900413,0.08483860343087954,0.1468081496320748,0.069446312370833,0.12349851032483712
