e_angle,e_tau,s_angle,s_tau,s_emg1,s_emg2,s_emg3,s_emg4,a_emg1,a_emg2,a_emg3,a_emg4
0.36072028485653335,189.58923330222072,2.7655596300075467,347.172321522115,0.10724046437454036,0.11312432146601765,0.010000000000000142,0.01,0.13054899601659906,0.0742019014983561,0.07283389652323995,0.14164875703767785
0.36072028485653335,190.51025949619597,2.7655596300075467,348.8691835300803,0.9999999999999732,0.9999999999999906,0.010000000000000073,0.010000000000000002,0.10298228840153609,0.06442069946843618,0.05447452293945327,0.14633490395354967
0.36072028485653335,177.6327717318673,2.7655596300075467,325.1951980311222,0.9999999999999999,0.9999999999998255,0.010000000000000002,0.010000000000000009,0.09068220886030373,0.08480602837031202,0.03355737716656556,0.13519450642781283
0.36072028485653335,149.63404621427176,2.7655596300075467,273.53313778809274,0.9999999999968304,0.9999999999998094,0.010000000000000078,0.010000000000000021,0.08557258137794396,0.08652036029099294,0.03637740627297505,0.13179557640192163
0.36072028485653335,116.87058567126108,2.7655596300075467,212.85779480866702,0.9999999999994779,0.9999999999998695,0.010000000000003995,0.010000000000003034,0.08016039125280727,0.07531022203800859,0.035326573706189156,0.13613952694868955
0.36072028485653335,79.30209523746434,2.7655596300075467,143.12918027823434,1.0,1.0,0.01,0.01,0.08290292154296733,0.05861300054938497,0.06331934597214091,0.14066138338776418
0.36072028485653335,36.94165196613146,2.7655596300075467,64.50236991500941,1.0,1.0,0.01,0.01,0.11268478303506509,0.04931836635325748,0.089593798286776,0.13743152305701867
0.36072028485653335,-10.144264165546764,2.7655596300075467,-22.578538804902685,0.010000000000000226,0.010000000000000292,0.1442887908838823,0.2390782338760872,0.11610262187467581,0.06442086693167806,0.15144986397153185,0.1294056062747415
0.36072028485653335,-37.90933216553668,2.7655596300075467,-73.48561507494861,0.01,0.01,0.5326045023582501,0.8579513365746717,0.08703108553192612,0.061505910814739856,0.15304120141575087,0.125614383518579
0.36072028485653335,-32.183003216990535,2.7655596300075467,-62.73354033974453,0.01000000000000007,0.010000000000000264,0.5214449239347073,0.8235364623091165,0.05750905254062704,0.10089602128992946,0.13782977968435256,0.131201908154026
0.36072028485653335,-3.1150410224781626,2.7655596300075467,-10.266384017802222,0.010000000000000033,0.010000000000000042,0.07713928540404433,0.12066692478707076,0.05748454948414471,0.10294771363091565,0.07406392164980372,0.13871140229934706
0.36072028485653335,7.101213066930898,2.7655596300075467,7.917930003545576,0.17475485414124006,0.2191641554637161,0.010000000000000122,0.010000000000000063,0.05484155953028807,0.10465015487246687,0.05645566618252378,0.13670902548627978
0.36072028485653335,7.096958482360553,2.7655596300075467,7.821715463961913,0.15982184185489204,0.2060380085244027,0.01,0.01000000000000014,0.04891067692109306,0.08909555398983371,0.11690457166138703,0.13010971894225287
0.36072028485653335,1.9530128441635477,2.7655596300075467,-1.3992132982006227,0.03553851311622221,0.045626365859682126,0.010000000000000163,0.01,0.05949757827385536,0.14628917894950863,0.13250788809519343,0.12722563561788144
0.36072028485653335,0.37237994223896076,2.7655596300075467,-4.266352842822573,0.01,0.01,0.017853325508013978,0.02755534761263093,0.062195995534601416,0.1852320007337433,0.137782828701631,0.13643079111024228
0.36072028485653335,3.9577599172744296,2.7655596300075467,2.0350540206853487,0.07993577660411312,0.10146440825053082,0.010000000000000035,0.01,0.06248917675015216,0.17550118979707777,0.08700354050104678,0.1454377308057493
0.36072028485653335,7.3929113296530895,2.7655596300075467,8.076181188012885,0.1574087805776759,0.20238212791090607,0.010000000000000137,0.01000000000000001,0.05001861792266435,0.12737152810755648,0.06772533442174551,0.1397437110197557
0.36072028485653335,8.107654125781748,2.7655596300075467,9.321016385567813,0.1723817063365709,0.22240603740187206,0.01,0.01000000000000003,0.07065133944700935,0.042269515692368996,0.055530403224791886,0.12650644587672322
0.36072028485653335,6.835388999544181,2.7655596300075467,7.059433233989908,0.14388387994160357,0.1859895324296615,0.01,0.010000000000000118,0.07524355159901139,0.038274907472374546,0.06263800070892026,0.1190353650930257
0.36072028485653335,5.90722617139389,2.7655596300075467,5.4042552979962295,0.12244276374532898,0.15806007859946147,0.010000000000000238,0.01,0.07491724833902709,0.03897934247523716,0.09456006206842042,0.12969161268724366
0.36072028485653335,6.467453698629962,2.7655596300075467,6.378352303276031,0.13434049481122584,0.17322493603944586,0.010000000000000136,0.01000000000000005,0.05834223957982314,0.03269648333810182,0.10429749955893565,0.1435510886011404
0.36072028485653335,7.732760158141952,2.7655596300075467,8.602685714502696,0.16173102239391896,0.20869379003724334,0.01000000000000029,0.01,0.06644242080185017,0.026708324373635833,0.1013281459493293,0.14476658405939605
0.36072028485653335,8.199792442665242,2.7655596300075467,9.42510687348264,0.17219444924728752,0.22305342658754845,0.010000000000000083,0.01,0.07747472677951171,0.03700725993898676,0.07654990669446869,0.1320084628442779
0.36072028485653335,7.73271517879607,2.7655596300075467,8.600687759697228,0.16197427768723324,0.20960382903358257,0.01,0.010000000000000087,0.07287250835291481,0.04251077502220858,0.05430094982194666,0.12470992955548209
0.36072028485653335,7.157377187090815,2.7655596300075467,7.582889500216181,0.14920047827406901,0.1930100274789198,0.01,0.010000000000000087,0.06843738478506524,0.08064960344705993,0.052348704347843895,0.13041097803690463
0.36072028485653335,7.143553232276562,2.7655596300075467,7.554305395545469,0.14867812727964935,0.19220777673255235,0.01,0.010000000000000122,0.07554723361667898,0.10774581828603565,0.075597850326131,0.13628745374753007
0.36072028485653335,7.660667201389533,2.7655596300075467,8.463770749469,0.159781732053282,0.2065659400434869,0.010000000000000219,0.01,0.07252310767617395,0.11940053831384446,0.0749773393735461,0.13580445180309958
0.36072028485653335,8.008249412925684,2.7655596300075467,9.077171663125794,0.16721717141694248,0.21624618569401416,0.01,0.01000000000000021,0.06266769984177274,0.10163991426002729,0.07953592437220645,0.1235871932829232
